tomato OrthoGene,arabidopsis OrthoGene,Orthogroup,tomato Symbol,arabidopsis Symbol
4081_0:0037d4,3702_0:002936,109895at3193,LOC101246350,AT2G46770
4081_0:00411b,3702_0:002936,109895at3193,LOC101267143,AT2G46770
4081_0:004142,3702_0:002936,109895at3193,LOC101248904,AT2G46770
4081_0:00506e,3702_0:002936,109895at3193,LOC101263643,AT2G46770
4081_0:005ab3,3702_0:002936,109895at3193,LOC101245609,AT2G46770
4081_0:001026,3702_0:002b70,109895at3193,LOC101253645,AT2G18060
4081_0:001a6b,3702_0:002b70,109895at3193,LOC101247411,AT2G18060
4081_0:003658,3702_0:002b70,109895at3193,LOC101252786,AT2G18060
4081_0:0037d4,3702_0:002b70,109895at3193,LOC101246350,AT2G18060
4081_0:00411b,3702_0:002b70,109895at3193,LOC101267143,AT2G18060
4081_0:004142,3702_0:002b70,109895at3193,LOC101248904,AT2G18060
4081_0:00506e,3702_0:002b70,109895at3193,LOC101263643,AT2G18060
4081_0:005ab3,3702_0:002b70,109895at3193,LOC101245609,AT2G18060
4081_0:001026,3702_0:002fdd,109895at3193,LOC101253645,AT3G61910
4081_0:001a6b,3702_0:002fdd,109895at3193,LOC101247411,AT3G61910
4081_0:003658,3702_0:002fdd,109895at3193,LOC101252786,AT3G61910
4081_0:0037d4,3702_0:002fdd,109895at3193,LOC101246350,AT3G61910
4081_0:00411b,3702_0:002fdd,109895at3193,LOC101267143,AT3G61910
4081_0:004142,3702_0:002fdd,109895at3193,LOC101248904,AT3G61910
4081_0:00506e,3702_0:002fdd,109895at3193,LOC101263643,AT3G61910
4081_0:005ab3,3702_0:002fdd,109895at3193,LOC101245609,AT3G61910
4081_0:001026,3702_0:00463c,109895at3193,LOC101253645,AT4G36160
4081_0:001a6b,3702_0:00463c,109895at3193,LOC101247411,AT4G36160
4081_0:003658,3702_0:00463c,109895at3193,LOC101252786,AT4G36160
4081_0:0037d4,3702_0:00463c,109895at3193,LOC101246350,AT4G36160
4081_0:00411b,3702_0:00463c,109895at3193,LOC101267143,AT4G36160
4081_0:004142,3702_0:00463c,109895at3193,LOC101248904,AT4G36160
4081_0:00506e,3702_0:00463c,109895at3193,LOC101263643,AT4G36160
4081_0:005ab3,3702_0:00463c,109895at3193,LOC101245609,AT4G36160
4081_0:001026,3702_0:00685e,109895at3193,LOC101253645,AT5G66300
4081_0:001a6b,3702_0:00685e,109895at3193,LOC101247411,AT5G66300
4081_0:003658,3702_0:00685e,109895at3193,LOC101252786,AT5G66300
4081_0:0037d4,3702_0:00685e,109895at3193,LOC101246350,AT5G66300
4081_0:00411b,3702_0:00685e,109895at3193,LOC101267143,AT5G66300
4081_0:004142,3702_0:00685e,109895at3193,LOC101248904,AT5G66300
4081_0:00506e,3702_0:00685e,109895at3193,LOC101263643,AT5G66300
4081_0:005ab3,3702_0:00685e,109895at3193,LOC101245609,AT5G66300
4081_0:00185b,3702_0:0064e0,109898at3193,LOC101266105,AT5G07590
4081_0:000432,3702_0:002133,109903at3193,LOC109120010,AT2G15780
4081_0:000bc7,3702_0:002133,109903at3193,LOC101245101,AT2G15780
4081_0:0051ca,3702_0:002133,109903at3193,LOC101244913,AT2G15780
4081_0:0051d8,3702_0:002133,109903at3193,LOC101249124,AT2G15780
4081_0:00170e,3702_0:005c1f,109910at3193,JJH1,AT5G63080
4081_0:005859,3702_0:006565,109937at3193,LOC101262678,AT5G16940
4081_0:003100,3702_0:00155e,109965at3193,LOC101262925,AT1G08480
4081_0:005727,3702_0:00155e,109965at3193,LOC101258822,AT1G08480
4081_0:0025b9,3702_0:0059be,109969at3193,LOC101248963,AT5G63670
4081_0:0025b9,3702_0:005ae3,109969at3193,LOC101248963,AT5G08565
4081_0:003876,3702_0:003fa6,109989at3193,AT3G20740,AT3G20740
4081_0:000f53,3702_0:001bc2,109997at3193,LOC101268738,AT1G31200
4081_0:001056,3702_0:001bc2,109997at3193,LOC104645913,AT1G31200
4081_0:0010f2,3702_0:001bc2,109997at3193,LOC101246577,AT1G31200
4081_0:001291,3702_0:001bc2,109997at3193,LOC104645912,AT1G31200
4081_0:00628e,3702_0:001bc2,109997at3193,LOC101260710,AT1G31200
4081_0:00310d,3702_0:001249,110002at3193,SMO4,AT1G07420
4081_0:00324b,3702_0:001249,110002at3193,LOC100736533,AT1G07420
4081_0:00310d,3702_0:002072,110002at3193,SMO4,AT2G29390
4081_0:00324b,3702_0:002072,110002at3193,LOC100736533,AT2G29390
4081_0:000037,3702_0:0009d0,110024at3193,LOC101254537,AT1G10900
4081_0:000037,3702_0:000ad4,110024at3193,LOC101254537,AT1G60890
4081_0:002861,3702_0:003853,110034at3193,LOC101253278,AT3G21740
4081_0:003d44,3702_0:000f70,11003at3193,LOC101258974,AT1G19250
4081_0:003d44,3702_0:006379,11003at3193,LOC101258974,AT5G45180
4081_0:0041a0,3702_0:00421f,110053at3193,LOC101264451,AT4G17980
4081_0:0041a0,3702_0:005697,110053at3193,LOC101264451,AT5G46590
4081_0:0016d4,3702_0:001714,11005at3193,LOC101267596,AT1G08860
4081_0:00371f,3702_0:001714,11005at3193,LOC101264226,AT1G08860
4081_0:0016d4,3702_0:0056f5,11005at3193,LOC101267596,AT5G07300
4081_0:00371f,3702_0:0056f5,11005at3193,LOC101264226,AT5G07300
4081_0:003c80,3702_0:001e76,110087at3193,LOC101246155,AT2G42670
4081_0:005281,3702_0:001e76,110087at3193,LOC101246476,AT2G42670
4081_0:003c80,3702_0:004196,110087at3193,LOC101246155,AT3G58670
4081_0:005281,3702_0:004196,110087at3193,LOC101246476,AT3G58670
4081_0:000938,3702_0:00302d,110108at3193,LOC101252430,AT3G11570
4081_0:0030d7,3702_0:00302d,110108at3193,LOC101251789,AT3G11570
4081_0:0048a8,3702_0:00302d,110108at3193,LOC101253933,AT3G11570
4081_0:004b61,3702_0:00302d,110108at3193,LOC101257207,AT3G11570
4081_0:000938,3702_0:0034a0,110108at3193,LOC101252430,AT3G06080
4081_0:0030d7,3702_0:0034a0,110108at3193,LOC101251789,AT3G06080
4081_0:0048a8,3702_0:0034a0,110108at3193,LOC101253933,AT3G06080
4081_0:004b61,3702_0:0034a0,110108at3193,LOC101257207,AT3G06080
4081_0:000938,3702_0:005c0f,110108at3193,LOC101252430,AT5G19160
4081_0:0030d7,3702_0:005c0f,110108at3193,LOC101251789,AT5G19160
4081_0:0048a8,3702_0:005c0f,110108at3193,LOC101253933,AT5G19160
4081_0:004b61,3702_0:005c0f,110108at3193,LOC101257207,AT5G19160
4081_0:000938,3702_0:0061c1,110108at3193,LOC101252430,AT5G06230
4081_0:0030d7,3702_0:0061c1,110108at3193,LOC101251789,AT5G06230
4081_0:0048a8,3702_0:0061c1,110108at3193,LOC101253933,AT5G06230
4081_0:004b61,3702_0:0061c1,110108at3193,LOC101257207,AT5G06230
4081_0:0013ee,3702_0:003ade,110109at3193,C5-SD,AT3G02580
4081_0:00157d,3702_0:003ade,110109at3193,LOC101256156,AT3G02580
4081_0:0059e0,3702_0:00105a,110126at3193,LOC101246397,AT1G44790
4081_0:003c2f,3702_0:00264e,110138at3193,LOC101265936,AT2G24240
4081_0:003c2f,3702_0:00480d,110138at3193,LOC101265936,AT4G30940
4081_0:0020ec,3702_0:004564,110178at3193,LOC101259238,AT4G39830
4081_0:002335,3702_0:004564,110178at3193,AT5G14760,AT4G39830
4081_0:001ef7,3702_0:00501f,11017at3193,LOC101246406,AT4G36050
4081_0:001ef7,3702_0:00513b,11017at3193,LOC101246406,AT4G36050
4081_0:003402,3702_0:002abe,110208at3193,LOC101261524,AT2G39930
4081_0:003924,3702_0:002abe,110208at3193,LOC101249741,AT2G39930
4081_0:003402,3702_0:004581,110208at3193,LOC101261524,AT4G09020
4081_0:003924,3702_0:004581,110208at3193,LOC101249741,AT4G09020
4081_0:00015b,3702_0:00038f,110211at3193,LOC101251313,AT1G55270
4081_0:000675,3702_0:00038f,110211at3193,LOC101255619,AT1G55270
4081_0:004fdc,3702_0:00626d,110214at3193,LOC101259890,AT5G42850
4081_0:00124d,3702_0:0021e5,110220at3193,LOC101245715,AT2G17705
4081_0:0033c8,3702_0:004344,110232at3193,LOC101247825,AT4G01870
4081_0:0035a4,3702_0:004344,110232at3193,LOC101263710,AT4G01870
4081_0:00520a,3702_0:004e34,110242at3193,LOC101255442,AT4G34270
4081_0:000e70,3702_0:000adf,110263at3193,LOC101259386,AT1G08040
4081_0:00108b,3702_0:000adf,110263at3193,LOC101259691,AT1G08040
4081_0:002d51,3702_0:000adf,110263at3193,LOC101244185,AT1G08040
4081_0:002f13,3702_0:000adf,110263at3193,LOC101248010,AT1G08040
4081_0:0033d8,3702_0:000adf,110263at3193,LOC101263523,AT1G08040
4081_0:00558a,3702_0:000adf,110263at3193,LOC101261883,AT1G08040
4081_0:000e70,3702_0:001abe,110263at3193,LOC101259386,AT1G67850
4081_0:00108b,3702_0:001abe,110263at3193,LOC101259691,AT1G67850
4081_0:002d51,3702_0:001abe,110263at3193,LOC101244185,AT1G67850
4081_0:002f13,3702_0:001abe,110263at3193,LOC101248010,AT1G67850
4081_0:0033d8,3702_0:001abe,110263at3193,LOC101263523,AT1G67850
4081_0:00558a,3702_0:001abe,110263at3193,LOC101261883,AT1G67850
4081_0:000e70,3702_0:001deb,110263at3193,LOC101259386,AT2G28310
4081_0:00108b,3702_0:001deb,110263at3193,LOC101259691,AT2G28310
4081_0:002d51,3702_0:001deb,110263at3193,LOC101244185,AT2G28310
4081_0:002f13,3702_0:001deb,110263at3193,LOC101248010,AT2G28310
4081_0:0033d8,3702_0:001deb,110263at3193,LOC101263523,AT2G28310
4081_0:00558a,3702_0:001deb,110263at3193,LOC101261883,AT2G28310
4081_0:000e70,3702_0:0031af,110263at3193,LOC101259386,AT3G27470
4081_0:00108b,3702_0:0031af,110263at3193,LOC101259691,AT3G27470
4081_0:002d51,3702_0:0031af,110263at3193,LOC101244185,AT3G27470
4081_0:002f13,3702_0:0031af,110263at3193,LOC101248010,AT3G27470
4081_0:0033d8,3702_0:0031af,110263at3193,LOC101263523,AT3G27470
4081_0:00558a,3702_0:0031af,110263at3193,LOC101261883,AT3G27470
4081_0:002b3f,3702_0:001559,110288at3193,LOC101257661,AT1G69830
4081_0:0014d0,3702_0:0014bd,110291at3193,LOC101258429,AT1G28330
4081_0:001cf5,3702_0:0014bd,110291at3193,LOC101257929,AT1G28330
4081_0:0014d0,3702_0:002ae2,110291at3193,LOC101258429,AT2G33830
4081_0:001cf5,3702_0:002ae2,110291at3193,LOC101257929,AT2G33830
4081_0:0014d0,3702_0:005cbd,110291at3193,LOC101258429,AT5G44300
4081_0:001cf5,3702_0:005cbd,110291at3193,LOC101257929,AT5G44300
4081_0:00483d,3702_0:001d23,110295at3193,LOC101245290,AT2G32090
4081_0:003a9e,3702_0:001a1d,110307at3193,LOC101252099,AT1G68580
4081_0:005631,3702_0:001a1d,110307at3193,LOC101251244,AT1G68580
4081_0:003a9e,3702_0:005a9e,110307at3193,LOC101252099,AT5G55600
4081_0:005631,3702_0:005a9e,110307at3193,LOC101251244,AT5G55600
4081_0:0048ab,3702_0:001361,110309at3193,LOC101244991,AT1G03030
4081_0:0031a4,3702_0:000fe6,110337at3193,LOC101246258,AT1G07220
4081_0:0040e8,3702_0:0053cc,110339at3193,LOC101256206,AT5G60620
4081_0:005853,3702_0:005891,110343at3193,LOC101262883,AT5G04360
4081_0:0020a8,3702_0:0055d7,110371at3193,LOC101255389,AT5G36210
4081_0:0051a3,3702_0:0055d7,110371at3193,LOC101248248,AT5G36210
4081_0:0019c1,3702_0:0061e5,110398at3193,LOC101261215,AT5G52820
4081_0:000682,3702_0:002b8d,110444at3193,LOC101258197,AT2G23390
4081_0:001f49,3702_0:000a38,11044at3193,LOC101268852,AT1G80750
4081_0:00356b,3702_0:000a38,11044at3193,LOC101258378,AT1G80750
4081_0:002faf,3702_0:004010,110462at3193,LOC101245169,AT3G52390
4081_0:00068b,3702_0:00084e,110469at3193,AT2G01180,AT1G56360
4081_0:003ea1,3702_0:00084e,110469at3193,LOC101244016,AT1G56360
4081_0:00068b,3702_0:001d37,110469at3193,AT2G01180,AT2G18130
4081_0:003ea1,3702_0:001d37,110469at3193,LOC101244016,AT2G18130
4081_0:00068b,3702_0:0023f1,110469at3193,AT2G01180,AT2G16430
4081_0:003ea1,3702_0:0023f1,110469at3193,LOC101244016,AT2G16430
4081_0:00068b,3702_0:002c5a,110469at3193,AT2G01180,AT2G27190
4081_0:003ea1,3702_0:002c5a,110469at3193,LOC101244016,AT2G27190
4081_0:00068b,3702_0:00392d,110469at3193,AT2G01180,AT3G46120
4081_0:003ea1,3702_0:00392d,110469at3193,LOC101244016,AT3G46120
4081_0:00068b,3702_0:00464b,110469at3193,AT2G01180,AT4G36350
4081_0:003ea1,3702_0:00464b,110469at3193,LOC101244016,AT4G36350
4081_0:00266c,3702_0:002b27,110477at3193,LOC101257765,AT2G03880
4081_0:004518,3702_0:002b27,110477at3193,LOC101262032,AT2G03880
4081_0:004d5a,3702_0:002b27,110477at3193,LOC101258097,AT2G03880
4081_0:002909,3702_0:00312e,110480at3193,LOC101263211,AT3G09320
4081_0:005373,3702_0:00312e,110480at3193,LOC104644405,AT3G09320
4081_0:0053f7,3702_0:00312e,110480at3193,LOC101263362,AT3G09320
4081_0:002909,3702_0:005f37,110480at3193,LOC101263211,AT5G04270
4081_0:005373,3702_0:005f37,110480at3193,LOC104644405,AT5G04270
4081_0:0053f7,3702_0:005f37,110480at3193,LOC101263362,AT5G04270
4081_0:0057e9,3702_0:0068a8,110481at3193,LOC101256942,AT5G39680
4081_0:0026d0,3702_0:003c43,110490at3193,LOC101262909,AT3G01435
4081_0:0019d9,3702_0:003184,1104at3193,LOC101249053,AT3G57630
4081_0:002079,3702_0:001e09,110509at3193,LOC101253467,AT2G38600
4081_0:003058,3702_0:001e09,110509at3193,LOC101266530,AT2G38600
4081_0:0030bc,3702_0:001e09,110509at3193,LOC101264133,AT2G38600
4081_0:0034f6,3702_0:001e09,110509at3193,LOC101263824,AT2G38600
4081_0:002079,3702_0:005574,110509at3193,LOC101253467,AT5G24770
4081_0:003058,3702_0:005574,110509at3193,LOC101266530,AT5G24770
4081_0:0030bc,3702_0:005574,110509at3193,LOC101264133,AT5G24770
4081_0:0034f6,3702_0:005574,110509at3193,LOC101263824,AT5G24770
4081_0:002079,3702_0:006704,110509at3193,LOC101253467,AT5G24780
4081_0:003058,3702_0:006704,110509at3193,LOC101266530,AT5G24780
4081_0:0030bc,3702_0:006704,110509at3193,LOC101264133,AT5G24780
4081_0:0034f6,3702_0:006704,110509at3193,LOC101263824,AT5G24780
4081_0:00588d,3702_0:0000bb,110530at3193,LOC101267764,AT1G77410
4081_0:0059f3,3702_0:0000bb,110530at3193,LOC101268055,AT1G77410
4081_0:00588d,3702_0:00696a,110530at3193,LOC101267764,AT5G63800
4081_0:0059f3,3702_0:00696a,110530at3193,LOC101268055,AT5G63800
4081_0:0005c6,3702_0:002a25,110537at3193,LOC101266678,AT2G14835
4081_0:001c66,3702_0:0034d2,110540at3193,LOC101249905,AT3G02080
4081_0:005fa4,3702_0:0034d2,110540at3193,LOC101268656,AT3G02080
4081_0:001c66,3702_0:005666,110540at3193,LOC101249905,AT5G61170
4081_0:005fa4,3702_0:005666,110540at3193,LOC101268656,AT5G61170
4081_0:001c66,3702_0:006972,110540at3193,LOC101249905,AT5G15520
4081_0:005fa4,3702_0:006972,110540at3193,LOC101268656,AT5G15520
4081_0:0020ce,3702_0:00338d,11061at3193,LOC101260039,AT3G18620
4081_0:0013df,3702_0:001b87,110626at3193,LOC101268045,AT1G27390
4081_0:001554,3702_0:001b87,110626at3193,LOC101247783,AT1G27390
4081_0:0013df,3702_0:003021,110626at3193,LOC101268045,AT3G27080
4081_0:001554,3702_0:003021,110626at3193,LOC101247783,AT3G27080
4081_0:0013df,3702_0:00607c,110626at3193,LOC101268045,AT5G40930
4081_0:001554,3702_0:00607c,110626at3193,LOC101247783,AT5G40930
4081_0:00282a,3702_0:00431e,110639at3193,LOC101247309,AT4G01020
4081_0:005953,3702_0:00431e,110639at3193,LOC101260893,AT4G01020
4081_0:00282a,3702_0:0067a6,110639at3193,LOC101247309,AT5G10370
4081_0:005953,3702_0:0067a6,110639at3193,LOC101260893,AT5G10370
4081_0:0002df,3702_0:00270c,110643at3193,LOC101262337,AT2G35950
4081_0:000d10,3702_0:001318,110645at3193,LOC101257726,AT1G53400
4081_0:00181a,3702_0:001318,110645at3193,LOC101247986,AT1G53400
4081_0:000d10,3702_0:006a32,110645at3193,LOC101257726,AT5G45740
4081_0:00181a,3702_0:006a32,110645at3193,LOC101247986,AT5G45740
4081_0:000a56,3702_0:0034fd,110655at3193,LOC101247968,AT3G45620
4081_0:0059ab,3702_0:0034fd,110655at3193,LOC101251849,AT3G45620
4081_0:000a56,3702_0:0043c3,110655at3193,LOC101247968,AT4G35140
4081_0:0059ab,3702_0:0043c3,110655at3193,LOC101251849,AT4G35140
4081_0:000a56,3702_0:00457e,110655at3193,LOC101247968,AT4G38480
4081_0:0059ab,3702_0:00457e,110655at3193,LOC101251849,AT4G38480
4081_0:002411,3702_0:00079e,110656at3193,LOC101251279,AT1G64870
4081_0:005c4d,3702_0:00079e,110656at3193,LOC104645074,AT1G64870
4081_0:005cfd,3702_0:00079e,110656at3193,LOC104644884,AT1G64870
4081_0:002411,3702_0:0031c3,110656at3193,LOC101251279,AT3G45200
4081_0:005c4d,3702_0:0031c3,110656at3193,LOC104645074,AT3G45200
4081_0:005cfd,3702_0:0031c3,110656at3193,LOC104644884,AT3G45200
4081_0:002411,3702_0:00543e,110656at3193,LOC101251279,AT5G13620
4081_0:005c4d,3702_0:00543e,110656at3193,LOC104645074,AT5G13620
4081_0:005cfd,3702_0:00543e,110656at3193,LOC104644884,AT5G13620
4081_0:002411,3702_0:0068d6,110656at3193,LOC101251279,AT5G11220
4081_0:005c4d,3702_0:0068d6,110656at3193,LOC104645074,AT5G11220
4081_0:005cfd,3702_0:0068d6,110656at3193,LOC104644884,AT5G11220
4081_0:000996,3702_0:004095,110660at3193,LOC101268035,AT3G49940
4081_0:000d82,3702_0:004095,110660at3193,LOC101258116,AT3G49940
4081_0:0021d7,3702_0:004095,110660at3193,LOC101261022,AT3G49940
4081_0:000996,3702_0:004f86,110660at3193,LOC101268035,AT4G37540
4081_0:000d82,3702_0:004f86,110660at3193,LOC101258116,AT4G37540
4081_0:0021d7,3702_0:004f86,110660at3193,LOC101261022,AT4G37540
